id,pressure,maxtemp,humidity,cloud,sunshine,windspeed,day_sin,day_cos,temp_range,winddirection_10.0,winddirection_15.0,winddirection_20.0,winddirection_25.0,winddirection_30.0,winddirection_40.0,winddirection_50.0,winddirection_60.0,winddirection_65.0,winddirection_70.0,winddirection_75.0,winddirection_80.0,winddirection_90.0,winddirection_100.0,winddirection_110.0,winddirection_120.0,winddirection_130.0,winddirection_140.0,winddirection_150.0,winddirection_160.0,winddirection_170.0,winddirection_180.0,winddirection_190.0,winddirection_200.0,winddirection_210.0,winddirection_220.0,winddirection_230.0,winddirection_240.0,winddirection_250.0,winddirection_250.3,winddirection_260.0,winddirection_270.0,winddirection_280.0,winddirection_290.0,winddirection_300.0,rainfall,humidity_index,windspeed_category
0,1017.4,0.421875,0.8135593220338984,88.0,1.1,0.2323049001814882,0.017213356155834685,0.9998518392091162,1.3000000000000007,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1.485362095531587,
1,1019.5,0.2265625,0.9491525423728813,91.0,0.0,0.3176043557168784,0.03442161162274574,0.9994074007397048,0.3999999999999986,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,2.407850133809099,
2,1024.1,0.3515625,0.6101694915254237,47.0,8.3,0.2486388384754991,0.051619667223253764,0.998666816288476,4.799999999999999,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1.6902396259497365,
3,1013.4,0.30078125,0.9491525423728813,95.0,0.0,0.5662431941923776,0.06880242680231986,0.9976303053065857,1.2000000000000028,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,2.1994784876140807,
4,1021.8,0.42578125,0.22033898305084743,45.0,3.6,0.3702359346642468,0.08596479873744647,0.9962981749346078,6.100000000000001,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0.4827426810477658,
5,1022.7,0.3984375,0.6779661016949152,81.0,0.0,0.20508166969147001,0.10310169744743485,0.9946708199115211,4.100000000000001,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1.4588377723970942,
6,1022.8,0.35546875,0.288135593220339,46.0,7.6,0.4355716878402904,0.1202080448993527,0.9927487224577402,4.199999999999999,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0.6312788906009246,
7,1019.7,0.2109375,0.9661016949152543,100.0,0.0,0.6406533575317606,0.13727877211326478,0.9905324521322229,3.1000000000000014,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,3.7553307818480053,
8,1017.4,0.28125,0.7966101694915253,100.0,0.0,0.6007259528130672,0.15430882066428117,0.9880226656636976,2.0000000000000018,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,2.109703855466567,
9,1025.4,0.23828125,0.6440677966101696,84.0,1.0,0.6152450090744102,0.1712931441814776,0.9852201067560606,4.5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2.217433414043584,
10,1016.8,0.23046875,0.9830508474576272,100.0,0.0,0.36297640653357527,0.1882267098432442,0.9821256058680006,2.200000000000001,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,2.998927268826433,
11,1012.5,0.2265625,1.0,100.0,0.0,0.3466424682395644,0.2051044998686192,0.9787400799669153,2.1999999999999993,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,3.0897435897435903,
12,1020.4,0.1796875,0.6440677966101696,86.0,0.0,0.5081669691470054,0.22192151300416552,0.9750645322571948,1.8000000000000007,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1.9163004812722333,
13,1012.5,0.12109375,0.8135593220338984,92.0,0.0,0.5916515426497279,0.2386727660059501,0.9711000518829505,1.9000000000000004,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,3.5648690292758096,
14,1018.4,0.2890625,0.6440677966101696,85.0,1.2,0.2994555353901996,0.255353295116187,0.9668478136052775,2.700000000000001,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1.7057180108027568,
15,1024.3,0.19140625,0.6779661016949152,91.0,0.3,0.2831215970961887,0.2719581575341055,0.9623090774541486,5.300000000000001,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,2.9707241910631743,
16,1022.5,0.23046875,0.6779661016949152,70.0,6.8,0.4700544464609801,0.288482432880609,0.9574851883550393,4.9,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,2.866488254534642,
17,1034.6,0.27734375,0.4915254237288136,60.0,2.5,0.1633393829401089,0.30492122465628907,0.9523775757303974,3.4000000000000004,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1.346109399075501,
18,1024.1,0.25,0.6271186440677965,77.0,0.0,0.2921960072595281,0.3212696616923644,0.9469877530760753,2.8000000000000007,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1.799233252623083,
19,1020.2,0.234375,0.6101694915254237,93.0,0.1,0.3176043557168784,0.3375228995941133,0.9413173175128471,3.6999999999999993,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,2.162512462612164,
20,1022.4,0.28515625,0.8983050847457628,88.0,0.4,0.6406533575317606,0.3536761221763716,0.9353679493131483,2.8999999999999986,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,2.4054613935969877,
21,1022.6,0.44921875,0.22033898305084743,49.0,9.1,0.10526315789473682,0.3697245428906731,0.9291414114031743,6.099999999999998,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5105932203389829,
22,1020.6,0.31640625,0.9491525423728813,95.0,0.0,0.6370235934664248,0.38566340624360707,0.9226395488404876,1.6000000000000014,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,2.310563259715802,
23,1013.0,0.5625,0.8644067796610169,92.0,0.0,0.4718693284936479,0.401487989205973,0.9158642882672872,7.699999999999999,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1.6665762711864407,
24,1012.5,0.5234375,0.7627118644067796,88.0,0.0,0.4682395644283121,0.4171936026123168,0.9088176373395029,3.400000000000002,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1.2419835089326616,
25,1019.5,0.58203125,0.6271186440677965,78.0,10.2,0.10526315789473682,0.4327755925504312,0.901501684131884,4.300000000000001,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1.0143328404049594,
26,1013.4,0.5234375,0.8983050847457628,95.0,0.0,0.2087114337568058,0.4482293417404106,0.893918596519257,4.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1.5802301125819622,
27,1017.0,0.44140625,0.6949152542372881,80.0,2.6,0.18330308529945555,0.4635502709028509,0.886070621534138,2.3000000000000007,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1.2982525292340032,
28,1019.9,0.48828125,0.7966101694915253,79.0,0.6,0.30852994555353896,0.47873384011578846,0.8779600847008882,3.6999999999999993,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1.4220966729441307,
29,1018.1,0.49609375,0.5932203389830508,49.0,7.7,0.17967332123411978,0.4937755501599772,0.869589389346611,3.900000000000002,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1.066911206678472,
30,1018.5,0.42578125,0.6101694915254237,69.0,7.7,0.5571687840290382,0.5086709438521044,0.8609610158889943,2.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1.1399290500591248,
31,1019.5,0.5,0.728813559322034,69.0,1.1,0.2921960072595281,0.5234156073655503,0.8520775211013093,3.099999999999998,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1.1948576040585726,
32,1020.4,0.42578125,0.22033898305084743,56.0,2.9,0.30671506352087113,0.5380051715382996,0.8429415373547828,4.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0.4658043413618792,
33,1024.4,0.4375,0.8644067796610169,95.0,4.3,0.5607985480943739,0.5524353131676196,0.8335557718385699,4.200000000000003,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1.7506053268765132,
34,1017.0,0.43359375,0.8813559322033897,88.0,0.0,0.17967332123411978,0.5667017562911176,0.8239230057575542,2.8999999999999986,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1.6091422701592188,
35,1023.1,0.3046875,0.6610169491525424,89.0,0.0,0.4355716878402904,0.5808002734538009,0.8140460935082178,1.8999999999999986,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1.6423204612965228,
36,1014.4,0.48828125,0.6779661016949152,88.0,0.0,0.25408348457350266,0.5947266869607634,0.8039279618328213,2.8999999999999986,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1.1670702179176757,
37,1021.8,0.41796875,0.5932203389830508,44.0,9.5,0.4047186932849365,0.6084768701151261,0.7935716089521474,3.3000000000000007,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1.323760200878845,
38,1023.1,0.390625,0.6101694915254237,43.0,9.2,0.13611615245009073,0.6220467484408675,0.7829801036770629,5.599999999999998,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1.4139504563233374,
39,1018.9,0.44921875,0.6779661016949152,90.0,0.0,0.4428312159709619,0.6354323008901774,0.7721565844991642,4.699999999999999,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1.3730237857855006,
40,1017.1,0.5078125,0.8305084745762712,83.0,2.3,0.4573502722323049,0.6486295610349814,0.7611042586607747,3.799999999999997,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1.399668128481688,
41,1015.8,0.421875,0.6101694915254237,46.0,4.1,0.26497277676951,0.6616346182422783,0.7498264012045686,3.8999999999999986,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1.2254237288135594,
